date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:04	118443/118443	---M--	200	added ('OK')	image/jpeg	etag:%224eca5fb962a91ca16bdffd73a2870449%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/portfolio/img-4.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/portfolio/img-4.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:46:12	51147/51147	---M--	200	added ('OK')	image/jpeg	etag:%22adb53ffc5f8ea264b0a4942c2abeaf58%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/portfolio/img-9.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/portfolio/img-9.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:46:12	351/351	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Nov%202019%2019:46:09%20GMT	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/single-blog.html	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/single-blog.1d.delayed	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:46:13	84848/84848	---M--	200	added ('OK')	image/jpeg	etag:%22c5b991524d1f65e409b27619ba1a7eb1%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/portfolio/img-8.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/portfolio/img-8.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:46:21	47663/47663	---M--	200	added ('OK')	image/jpeg	etag:%22120137b60056c2ee77450e5a4fd5f94e%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/blog/img-2.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/blog/img-2.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:46:32	65194/65194	---M--	200	added ('OK')	image/jpeg	etag:%22dc6eaacf8d4cf0a988d2243e348a75c3%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/blog/img-3.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/blog/img-3.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:46:39	1165780/1165780	---M--	200	added ('OK')	image/jpeg	etag:%224c65256cb321a91fe9cc935f5254d4c3%22	https://udemy-certificate.s3.amazonaws.com/image/UC-RJCXZTZK.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/udemy-certificate.s3.amazonaws.com/image/UC-RJCXZTZK.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:46:47	44892/44892	---M--	200	added ('OK')	image/jpeg	etag:%2200a9fce9e34b42c739e83d0d6aca05d2%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/blog/img-5.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/blog/img-5.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:46:55	367464/367464	---M--	200	added ('OK')	image/jpeg	etag:%22ee72bd37258bd9272c63f223acd9f6e8%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/portfolio/img-7.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/portfolio/img-7.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:46:55	49797/49797	---M--	200	added ('OK')	image/jpeg	etag:%2260c87714d8b2c5c6d1a08dfc2da28db1%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/blog/img-6.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/blog/img-6.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
